,Data,Category,Ativos,ANR,Falhas,Instalações,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão,ViewsNaoOrganica,InstalacoesNaoOrganicas,ConversaoNaoOrganica,ViewsOrganicas,InstalacoesOrganicas,ConversaOrganica,position
87,27/08/2019,MAPS_AND_NAVIGATION,17635242,120052,2042,152540,772821,100896,42772,21696,94190,1032375,4.391,99 Passageiro - Motorista Particular e Táxi,50559,4.53,123771,397197,47849,12.0,288346,18383,6.4,108751,29407,27.0,1
95,04/09/2019,MAPS_AND_NAVIGATION,17828654,222921,2458,179999,794444,103044,43205,21172,87559,1049424,4.425,99 Passageiro - Motorista Particular e Táxi,60437,4.53,130824,463206,58662,12.7,335856,29892,8.9,127260,28730,22.6,1
103,12/09/2019,MAPS_AND_NAVIGATION,18111739,43211,1786,175256,844342,103999,40304,18079,66144,1072868,4.531,99 Passageiro - Motorista Particular e Táxi,58075,4.58,139755,321403,53687,16.7,197420,24591,12.5,123892,29050,23.4,1
104,13/09/2019,MAPS_AND_NAVIGATION,18145232,56012,1792,200979,846094,103444,39865,17380,63169,1069952,4.544,99 Passageiro - Motorista Particular e Táxi,66478,4.56,131976,306938,60385,19.7,159295,25352,15.9,147549,34975,23.7,1
106,15/09/2019,MAPS_AND_NAVIGATION,18245926,33359,1461,202211,857209,105017,39844,17209,61053,1080332,4.555,99 Passageiro - Motorista Particular e Táxi,70620,4.57,141961,354384,62479,17.6,167832,21473,12.8,186466,40966,22.0,1
107,16/09/2019,MAPS_AND_NAVIGATION,18242376,60887,1673,170465,856919,105136,39691,17132,60237,1079115,4.558,99 Passageiro - Motorista Particular e Táxi,55546,4.55,139132,315096,49208,15.6,130357,16597,12.7,184670,32569,17.6,1
108,17/09/2019,MAPS_AND_NAVIGATION,18256158,36672,1614,164733,855964,104927,39645,17153,60032,1077721,4.559,99 Passageiro - Motorista Particular e Táxi,53063,4.57,117696,271409,47316,17.4,114361,16127,14.1,156979,31156,19.8,1
111,20/09/2019,MAPS_AND_NAVIGATION,18297380,57568,1743,200056,861273,105665,40045,17316,60287,1084586,4.558,99 Passageiro - Motorista Particular e Táxi,64252,4.56,125995,293416,57709,19.7,118689,20760,17.5,174636,36906,21.1,1
112,21/09/2019,MAPS_AND_NAVIGATION,18348902,56447,1823,232313,802699,98774,37674,16248,56200,1011595,4.557,99 Passageiro - Motorista Particular e Táxi,78390,4.57,142142,303490,69680,23.0,127820,24549,19.2,175573,45093,25.7,1
113,22/09/2019,MAPS_AND_NAVIGATION,18366332,31586,1438,189695,868018,106812,40740,17570,60774,1093914,4.557,99 Passageiro - Motorista Particular e Táxi,64484,4.57,141628,269243,57244,21.3,118862,20940,17.6,150291,36265,24.1,1
155,03/11/2019,MAPS_AND_NAVIGATION,19125767,84893,1498,192734,918217,114625,44281,19830,70074,1167027,4.535,99 Passageiro - Motorista Particular e Táxi,62863,4.39,141252,446562,59342,13.3,201186,15277,7.6,245302,44029,17.9,1
156,04/11/2019,MAPS_AND_NAVIGATION,19140178,44498,1306,174118,919000,114593,44022,19888,70760,1168263,4.533,99 Passageiro - Motorista Particular e Táxi,53127,4.34,125811,341464,49555,14.5,144896,13366,9.2,196486,36149,18.4,1
157,05/11/2019,MAPS_AND_NAVIGATION,19165263,35884,1178,176634,894644,111483,42849,19364,69218,1137558,4.532,99 Passageiro - Motorista Particular e Táxi,53346,4.38,117640,272766,48631,17.8,97961,11310,11.5,174733,37292,21.3,1
158,06/11/2019,MAPS_AND_NAVIGATION,19168483,69304,1574,170699,913732,114151,44064,20022,71271,1163240,4.529,99 Passageiro - Motorista Particular e Táxi,50564,4.37,133193,274970,46006,16.7,94937,10861,11.4,179963,35111,19.5,1
159,07/11/2019,MAPS_AND_NAVIGATION,19172537,49067,1427,185093,905366,113215,43763,19870,70792,1153006,4.529,99 Passageiro - Motorista Particular e Táxi,54627,4.4,145314,278255,49510,17.8,90752,11182,12.3,187435,38292,20.4,1
160,08/11/2019,MAPS_AND_NAVIGATION,19219573,93525,1911,219997,911991,114173,44158,20009,72129,1162460,4.526,99 Passageiro - Motorista Particular e Táxi,65099,4.39,134523,285521,59052,20.7,103860,19366,18.6,181567,39643,21.8,1
161,09/11/2019,MAPS_AND_NAVIGATION,19273961,96281,1812,247166,638616,79905,31001,14058,50800,814380,4.524,99 Passageiro - Motorista Particular e Táxi,76717,4.41,150329,318721,70364,22.1,128735,24859,19.3,189886,45454,23.9,2
162,10/11/2019,MAPS_AND_NAVIGATION,19298542,63792,1438,201911,824248,103200,40406,18235,66146,1052235,4.522,99 Passageiro - Motorista Particular e Táxi,63930,4.37,143420,328681,58866,17.9,142839,21827,15.3,185781,37006,19.9,2
163,11/11/2019,MAPS_AND_NAVIGATION,19313962,63967,1695,188716,911904,114228,44874,20265,73637,1164908,4.52,99 Passageiro - Motorista Particular e Táxi,55119,4.25,136997,326237,51315,15.7,134969,18445,13.7,191181,32831,17.2,2
164,12/11/2019,MAPS_AND_NAVIGATION,19329872,43650,1571,170831,891522,112034,44069,19960,72734,1140319,4.517,99 Passageiro - Motorista Particular e Táxi,49601,4.33,120006,232527,45928,19.8,96053,16154,16.8,136394,29741,21.8,2
165,13/11/2019,MAPS_AND_NAVIGATION,19322742,83566,1772,171224,892064,112360,44117,20002,72898,1141441,4.516,99 Passageiro - Motorista Particular e Táxi,49659,4.3,143201,238225,46136,19.4,100847,16578,16.4,137291,29522,21.5,2
166,14/11/2019,MAPS_AND_NAVIGATION,19336288,46543,1591,214083,904120,114419,44925,20545,75138,1159147,4.511,99 Passageiro - Motorista Particular e Táxi,62436,4.3,161387,290151,57674,19.9,118189,20606,17.4,171868,37013,21.5,2
167,15/11/2019,MAPS_AND_NAVIGATION,19336823,87995,1529,197491,923557,116734,45832,21003,77297,1184423,4.51,99 Passageiro - Motorista Particular e Táxi,60083,4.34,160703,312065,56301,18.0,147405,22117,15.0,164588,34157,20.8,2
168,16/11/2019,MAPS_AND_NAVIGATION,19343286,57066,1340,197170,924035,116859,45948,21065,77661,1185568,4.509,99 Passageiro - Motorista Particular e Táxi,60759,4.42,153019,288227,57152,19.8,141264,22408,15.9,146896,34715,23.6,2
169,17/11/2019,MAPS_AND_NAVIGATION,19347467,34828,1137,174739,923786,117022,45913,21259,78771,1186751,4.505,99 Passageiro - Motorista Particular e Táxi,56047,4.47,139421,296601,54703,18.4,167011,32514,19.5,129522,22158,17.1,2
170,18/11/2019,MAPS_AND_NAVIGATION,19351815,38787,1356,175263,924073,117069,46000,21333,79421,1187896,4.503,99 Passageiro - Motorista Particular e Táxi,52236,4.35,134209,271242,49967,18.4,140457,24310,17.3,130717,25629,19.6,2
171,19/11/2019,MAPS_AND_NAVIGATION,19363082,39429,1321,172843,924661,117161,45886,21372,79837,1188917,4.502,99 Passageiro - Motorista Particular e Táxi,50661,4.44,124903,259339,48022,18.5,129577,21579,16.7,129708,26410,20.4,2
172,20/11/2019,MAPS_AND_NAVIGATION,19381677,81944,1514,181259,924688,117207,46176,21592,80336,1189999,4.499,99 Passageiro - Motorista Particular e Táxi,55028,4.49,125187,296824,52836,17.8,152663,23962,15.7,144095,28835,20.0,2
173,21/11/2019,MAPS_AND_NAVIGATION,19404599,63184,1659,179113,925359,117124,46289,21674,80733,1191179,4.498,99 Passageiro - Motorista Particular e Táxi,54080,4.4,119814,324416,52606,16.2,167447,24641,14.7,156900,27932,17.8,1
174,22/11/2019,MAPS_AND_NAVIGATION,19450324,67894,1644,206377,926065,117010,46288,21723,81202,1192288,4.497,99 Passageiro - Motorista Particular e Táxi,62782,4.38,120903,336143,60816,18.1,180576,27955,15.5,155489,32825,21.1,1
175,23/11/2019,MAPS_AND_NAVIGATION,19521071,76990,1761,245155,926873,116875,46340,21734,81598,1193420,4.496,99 Passageiro - Motorista Particular e Táxi,78039,4.42,133910,357429,73746,20.6,175589,24177,13.8,181757,49527,27.2,1
176,24/11/2019,MAPS_AND_NAVIGATION,19523956,33382,1241,188064,927038,117020,46482,21795,82243,1194578,4.494,99 Passageiro - Motorista Particular e Táxi,60612,4.36,151824,338854,57787,17.1,166520,19760,11.9,172268,37995,22.1,1
177,25/11/2019,MAPS_AND_NAVIGATION,19525283,58738,1512,174590,927453,116936,46547,21783,82906,1195625,4.492,99 Passageiro - Motorista Particular e Táxi,50984,4.38,138328,244830,47102,19.2,104563,15367,14.7,140188,31703,22.6,1
178,26/11/2019,MAPS_AND_NAVIGATION,19542803,50123,1506,176143,928004,116820,46695,21881,83088,1196488,4.492,99 Passageiro - Motorista Particular e Táxi,51220,4.35,123501,219562,47295,21.5,90217,15453,17.1,129266,31807,24.6,1
179,27/11/2019,MAPS_AND_NAVIGATION,19538329,75507,1743,185311,927823,116808,46890,22104,84143,1197768,4.488,99 Passageiro - Motorista Particular e Táxi,53869,4.37,151916,225584,49369,21.9,88350,14613,16.5,137162,34722,25.3,1
180,28/11/2019,MAPS_AND_NAVIGATION,19543695,57783,1615,198945,928505,116909,46984,22096,84347,1198841,4.487,99 Passageiro - Motorista Particular e Táxi,55558,4.35,150893,237835,50394,21.2,88503,13906,15.7,149254,36450,24.4,1
181,29/11/2019,MAPS_AND_NAVIGATION,19625463,112696,2200,306508,928906,116801,47233,22275,84730,1199945,4.486,99 Passageiro - Motorista Particular e Táxi,81936,4.31,151941,261066,72860,27.9,85936,17498,20.4,175026,55306,31.6,1
182,30/11/2019,MAPS_AND_NAVIGATION,19732860,54853,1861,329862,929039,117071,47224,22542,85307,1201183,4.484,99 Passageiro - Motorista Particular e Táxi,99009,4.3,154904,337504,89344,26.5,128649,22455,17.5,208730,66828,32.0,1
183,01/12/2019,MAPS_AND_NAVIGATION,19784790,48965,1339,255326,928786,117011,47381,22942,86478,1202598,4.479,99 Passageiro - Motorista Particular e Táxi,80029,4.24,153478,342889,74308,21.7,157416,21697,13.8,185377,52559,28.4,1
184,02/12/2019,MAPS_AND_NAVIGATION,19825843,40676,1450,221288,928458,117310,47536,23110,87383,1203797,4.476,99 Passageiro - Motorista Particular e Táxi,65176,4.28,136182,280728,60355,21.5,127490,18342,14.4,153145,41966,27.4,1
185,03/12/2019,MAPS_AND_NAVIGATION,19860468,24006,1350,206082,928775,117173,47594,23250,88171,1204963,4.473,99 Passageiro - Motorista Particular e Táxi,60815,4.41,124829,277769,57354,20.6,131887,17993,13.6,145789,39306,27.0,1
186,04/12/2019,MAPS_AND_NAVIGATION,19868153,29929,1557,209302,928714,116852,47762,23384,89111,1205823,4.47,99 Passageiro - Motorista Particular e Táxi,63047,4.39,154819,289950,59186,20.4,135850,18366,13.5,154026,40782,26.5,1
187,05/12/2019,MAPS_AND_NAVIGATION,19888197,41660,1608,222367,929368,116887,47883,23389,89461,1206988,4.469,99 Passageiro - Motorista Particular e Táxi,67555,4.28,156285,302347,63252,20.9,133737,19047,14.2,168526,44162,26.2,1
188,06/12/2019,MAPS_AND_NAVIGATION,19968084,66738,2010,277567,929835,116735,48124,23519,89971,1208184,4.467,99 Passageiro - Motorista Particular e Táxi,85999,4.22,147334,335877,79718,23.7,141600,21514,15.2,194171,58140,29.9,1
189,07/12/2019,MAPS_AND_NAVIGATION,20145309,48878,1837,324007,930227,116451,48319,23788,90896,1209681,4.464,99 Passageiro - Motorista Particular e Táxi,104464,4.32,165593,409266,97515,23.8,186254,28450,15.3,222876,68997,31.0,1
190,08/12/2019,MAPS_AND_NAVIGATION,20186773,46237,1659,260031,930693,116766,48479,23908,91461,1211307,4.462,99 Passageiro - Motorista Particular e Táxi,84486,4.36,175108,417857,79950,19.1,207862,26623,12.8,209894,53275,25.4,1
191,09/12/2019,MAPS_AND_NAVIGATION,20147456,72332,4567,231947,929835,116801,48859,24183,93361,1213039,4.455,99 Passageiro - Motorista Particular e Táxi,69835,4.46,158225,367103,65917,18.0,182831,23457,12.8,184178,42409,23.0,1
192,10/12/2019,MAPS_AND_NAVIGATION,20184911,34963,2140,227146,930317,117035,49134,24321,94221,1215028,4.453,99 Passageiro - Motorista Particular e Táxi,68267,4.48,143437,321102,64502,20.1,150651,22686,15.1,170353,41761,24.5,1
193,11/12/2019,MAPS_AND_NAVIGATION,20187198,59195,1871,221819,931707,117204,49281,24414,94640,1217246,4.452,99 Passageiro - Motorista Particular e Táxi,66982,4.55,173686,316942,63130,19.9,147581,21984,14.9,169271,41099,24.3,1
194,12/12/2019,MAPS_AND_NAVIGATION,20207532,52312,1784,223175,932384,117480,49568,24538,95074,1219044,4.45,99 Passageiro - Motorista Particular e Táxi,68184,4.55,157462,329207,64319,19.5,157078,22102,14.1,172015,42160,24.5,1
195,13/12/2019,MAPS_AND_NAVIGATION,20276247,50623,1671,257086,933734,117575,50107,24711,95367,1221494,4.449,99 Passageiro - Motorista Particular e Táxi,80316,4.54,140224,371990,75845,20.4,178741,24545,13.7,193129,51249,26.5,1
196,14/12/2019,MAPS_AND_NAVIGATION,20377986,40590,1526,291400,935452,117621,50347,24791,95264,1223475,4.449,99 Passageiro - Motorista Particular e Táxi,95595,4.51,139675,400852,90052,22.5,194876,28874,14.8,205855,61121,29.7,1
197,15/12/2019,MAPS_AND_NAVIGATION,20418326,36814,1418,239712,936608,117804,50677,24861,95525,1225475,4.449,99 Passageiro - Motorista Particular e Táxi,79744,4.49,157585,377522,75157,19.9,190504,24554,12.9,186921,50550,27.0,1
198,16/12/2019,MAPS_AND_NAVIGATION,20447470,64020,1469,232268,938228,117660,50715,24981,95814,1227398,4.448,99 Passageiro - Motorista Particular e Táxi,70576,4.46,150177,334460,65814,19.7,158502,22163,14.0,175854,43593,24.8,1
199,17/12/2019,MAPS_AND_NAVIGATION,20488222,56526,1445,238750,939634,117811,50821,24987,95954,1229207,4.448,99 Passageiro - Motorista Particular e Táxi,71950,4.51,138585,349404,67699,19.4,165727,23275,14.0,183550,44355,24.2,1
200,18/12/2019,MAPS_AND_NAVIGATION,20513689,46049,1470,234258,939241,117826,50868,25263,96738,1229936,4.445,99 Passageiro - Motorista Particular e Táxi,72282,4.57,155687,302607,67007,22.1,132308,21244,16.1,170178,45688,26.8,1
201,19/12/2019,MAPS_AND_NAVIGATION,20542434,66100,1603,231145,942013,117935,50929,25309,96906,1233092,4.446,99 Passageiro - Motorista Particular e Táxi,71833,4.48,153305,288756,65705,22.8,114109,17913,15.7,174524,47727,27.3,1
202,20/12/2019,MAPS_AND_NAVIGATION,20622278,49351,1661,290768,943554,117953,51064,25361,97269,1235201,4.445,99 Passageiro - Motorista Particular e Táxi,90938,4.5,157586,319163,81880,25.7,111846,18289,16.4,207179,63527,30.7,1
203,21/12/2019,MAPS_AND_NAVIGATION,20723426,34658,1641,302837,944910,118170,50994,25462,97504,1237040,4.445,99 Passageiro - Motorista Particular e Táxi,98653,4.53,149175,355657,88763,25.0,121299,18859,15.5,234213,69820,29.8,1
204,22/12/2019,MAPS_AND_NAVIGATION,20753373,24959,1374,243312,946507,117993,51317,25658,98163,1239638,4.443,99 Passageiro - Motorista Particular e Táxi,81147,4.54,170230,345133,73508,21.3,124157,16944,13.6,220820,56479,25.6,1
205,23/12/2019,MAPS_AND_NAVIGATION,20806062,58945,1824,257373,947904,118102,51405,25732,98586,1241729,4.442,99 Passageiro - Motorista Particular e Táxi,81975,4.43,156773,301937,73605,24.4,98935,16314,16.5,202845,57200,28.2,1
206,24/12/2019,MAPS_AND_NAVIGATION,20897140,96498,2107,277267,949057,118177,51732,25936,98863,1243765,4.441,99 Passageiro - Motorista Particular e Táxi,89604,4.56,138491,312291,80217,25.7,104989,16690,15.9,207157,63456,30.6,1
207,25/12/2019,MAPS_AND_NAVIGATION,20887041,23629,1356,208986,950085,118124,51973,26152,99295,1245629,4.44,99 Passageiro - Motorista Particular e Táxi,69936,4.51,186289,280200,62595,22.3,96350,13365,13.9,183736,49164,26.8,1
208,26/12/2019,MAPS_AND_NAVIGATION,20869882,53554,1726,192721,951659,117926,51917,26214,99516,1247232,4.44,99 Passageiro - Motorista Particular e Táxi,58083,4.57,170024,265544,52219,19.7,93258,11894,12.8,172181,40271,23.4,1
209,27/12/2019,MAPS_AND_NAVIGATION,20880305,90808,2047,191970,953707,117574,51805,26259,99663,1249008,4.441,99 Passageiro - Motorista Particular e Táxi,58496,4.58,142741,253398,53097,21.0,89086,12019,13.5,164207,41026,25.0,1
210,28/12/2019,MAPS_AND_NAVIGATION,20910891,36546,1647,199058,955242,117599,51939,26356,99630,1250766,4.441,99 Passageiro - Motorista Particular e Táxi,63225,4.65,129744,260323,57434,22.1,89093,12022,13.5,171171,45383,26.5,2
211,29/12/2019,MAPS_AND_NAVIGATION,20926502,29650,1410,173067,956763,117493,51950,26442,100002,1252650,4.441,99 Passageiro - Motorista Particular e Táxi,57391,4.61,127093,248397,52286,21.0,84369,10800,12.8,163972,41453,25.3,2
212,30/12/2019,MAPS_AND_NAVIGATION,20952019,53885,1884,189465,958636,117645,51791,26498,99748,1254318,4.442,99 Passageiro - Motorista Particular e Táxi,60213,4.64,126707,260806,54452,20.9,87778,11114,12.7,172975,43315,25.0,2
213,31/12/2019,MAPS_AND_NAVIGATION,21058149,69494,2308,267115,960469,117556,51837,26476,99597,1255935,4.443,99 Passageiro - Motorista Particular e Táxi,92048,4.62,123249,322399,83857,26.0,104045,16817,16.2,218225,66981,30.7,2
214,01/01/2020,MAPS_AND_NAVIGATION,21064401,20571,1365,186492,961950,117583,51902,26483,99566,1257484,4.444,99 Passageiro - Motorista Particular e Táxi,65022,4.51,153176,248633,58896,23.7,93133,15192,16.3,155400,43654,28.1,1
215,02/01/2020,MAPS_AND_NAVIGATION,21070122,21344,1524,190378,963994,117429,51771,26478,99295,1258967,4.446,99 Passageiro - Motorista Particular e Táxi,62706,4.58,146898,363118,59729,16.4,180241,22282,12.4,182761,37388,20.5,1
216,03/01/2020,MAPS_AND_NAVIGATION,21064755,28739,1584,198643,965766,117202,51706,26526,99465,1260665,4.446,99 Passageiro - Motorista Particular e Táxi,63820,4.6,159406,399392,61481,15.4,232085,24594,10.6,167202,36833,22.0,1
217,04/01/2020,MAPS_AND_NAVIGATION,21077047,23119,1423,200372,967593,117203,51691,26343,99497,1262327,4.447,99 Passageiro - Motorista Particular e Táxi,65903,4.64,146041,363860,63252,17.4,208376,23492,11.3,155400,39702,25.5,1
218,05/01/2020,MAPS_AND_NAVIGATION,21090356,21849,1363,178984,969088,117418,51737,26381,99593,1264217,4.448,99 Passageiro - Motorista Particular e Táxi,61936,4.62,131862,337294,58829,17.4,177606,21574,12.1,159595,37208,23.3,1
219,06/01/2020,MAPS_AND_NAVIGATION,21101322,41574,1718,195740,970299,117565,51801,26414,99717,1265796,4.448,99 Passageiro - Motorista Particular e Táxi,62341,4.59,147366,334084,58467,17.5,165894,21677,13.1,168073,36725,21.9,1
220,07/01/2020,MAPS_AND_NAVIGATION,21134397,45461,1704,216744,973737,117227,51422,26183,98918,1267487,4.452,99 Passageiro - Motorista Particular e Táxi,68751,4.55,144015,394847,65503,16.6,216931,25120,11.6,177797,40319,22.7,1
221,08/01/2020,MAPS_AND_NAVIGATION,21158855,55006,1676,222292,975706,117184,51299,26207,98932,1269328,4.453,99 Passageiro - Motorista Particular e Táxi,70308,4.56,155034,386435,66211,17.1,201128,24587,12.2,185180,41549,22.4,1
222,09/01/2020,MAPS_AND_NAVIGATION,21175894,45948,1376,209830,977445,117173,51349,26287,98941,1271195,4.454,99 Passageiro - Motorista Particular e Táxi,67608,4.6,150172,366892,63530,17.3,181208,23225,12.8,185564,40229,21.7,1
223,10/01/2020,MAPS_AND_NAVIGATION,21197001,59385,1566,223745,979135,117045,51348,26417,99042,1272987,4.454,99 Passageiro - Motorista Particular e Táxi,71014,4.58,158376,404284,67207,16.6,208886,24434,11.7,195271,42704,21.9,1
224,11/01/2020,MAPS_AND_NAVIGATION,21282726,115104,2093,237128,980928,117185,51318,26417,99142,1274990,4.454,99 Passageiro - Motorista Particular e Táxi,78509,4.61,155699,437183,74382,17.0,229122,25268,11.0,207932,49044,23.6,1
225,12/01/2020,MAPS_AND_NAVIGATION,21222901,45089,1352,206673,982758,117180,51270,26584,99226,1277018,4.455,99 Passageiro - Motorista Particular e Táxi,71368,4.56,179513,461535,68932,14.9,252551,25419,10.1,208875,43444,20.8,1
226,13/01/2020,MAPS_AND_NAVIGATION,21228399,38993,1322,201239,984879,117343,51323,26379,98813,1278737,4.457,99 Passageiro - Motorista Particular e Táxi,65457,4.58,154969,467909,63072,13.5,260185,24203,9.3,207604,38807,18.7,1
227,14/01/2020,MAPS_AND_NAVIGATION,21251621,26817,1283,191920,986462,117385,51305,26426,98924,1280502,4.457,99 Passageiro - Motorista Particular e Táxi,62811,4.61,128824,487924,61495,12.6,279506,24157,8.6,208307,37281,17.9,1
228,15/01/2020,MAPS_AND_NAVIGATION,21231425,42224,1484,193572,987751,117538,51372,26460,99053,1282174,4.457,99 Passageiro - Motorista Particular e Táxi,62892,4.61,172973,439803,60115,13.7,240606,21689,9.0,199083,38362,19.3,1
229,16/01/2020,MAPS_AND_NAVIGATION,21238032,64860,1485,193311,989117,117701,51443,26497,99190,1283948,4.457,99 Passageiro - Motorista Particular e Táxi,61761,4.61,147994,386443,58642,15.2,204619,20694,10.1,181684,37876,20.8,1
230,17/01/2020,MAPS_AND_NAVIGATION,21264530,36582,1439,201614,990482,117863,51514,26533,99327,1285719,4.457,99 Passageiro - Motorista Particular e Táxi,63282,4.66,136607,370983,59737,16.1,194585,20277,10.4,176274,39394,22.3,2
231,18/01/2020,MAPS_AND_NAVIGATION,21303994,63357,1640,217412,994421,117157,51311,26278,98176,1287343,4.463,99 Passageiro - Motorista Particular e Táxi,70945,4.65,138484,390150,66978,17.2,202445,22262,11.0,187586,44652,23.8,1
232,19/01/2020,MAPS_AND_NAVIGATION,21321861,28227,1266,187892,997120,117065,51088,26242,97720,1289235,4.466,99 Passageiro - Motorista Particular e Táxi,62542,4.54,136272,364279,58624,16.1,183050,19429,10.6,181121,39142,21.6,1
233,20/01/2020,MAPS_AND_NAVIGATION,21338772,34933,1492,189615,1000488,116939,50610,25957,96994,1290988,4.47,99 Passageiro - Motorista Particular e Táxi,60480,4.61,134417,399179,56951,14.3,197602,19570,9.9,201442,37307,18.5,1
234,21/01/2020,MAPS_AND_NAVIGATION,21361252,30964,1355,190734,1003096,116671,50440,25887,96605,1292699,4.473,99 Passageiro - Motorista Particular e Táxi,60102,4.62,129786,374444,56295,15.0,189928,19174,10.1,184402,37062,20.1,1
235,22/01/2020,MAPS_AND_NAVIGATION,21371825,35235,1408,186336,1005342,116575,50573,25808,96137,1294435,4.475,99 Passageiro - Motorista Particular e Táxi,58891,4.6,137399,373863,56176,15.0,199313,19429,9.7,174446,36695,21.0,1
236,23/01/2020,MAPS_AND_NAVIGATION,21383418,24165,1416,188872,1008693,116508,50478,25696,95713,1297088,4.478,99 Passageiro - Motorista Particular e Táxi,60809,4.62,139351,398351,58041,14.6,216280,20867,9.6,181930,37107,20.4,1
237,24/01/2020,MAPS_AND_NAVIGATION,21408692,29840,1553,197725,1009271,116575,50507,25711,95768,1297832,4.478,99 Passageiro - Motorista Particular e Táxi,63283,4.62,134934,415425,60591,14.6,219475,21101,9.6,195829,39423,20.1,1
238,25/01/2020,MAPS_AND_NAVIGATION,21437537,26867,1317,209278,1013354,116086,50239,25526,94264,1299469,4.484,99 Passageiro - Motorista Particular e Táxi,68524,4.65,141264,357940,64019,17.9,174861,20975,12.0,182986,42994,23.5,1
239,26/01/2020,MAPS_AND_NAVIGATION,21447655,22626,1382,177824,1016239,116180,49878,25305,93644,1301246,4.488,99 Passageiro - Motorista Particular e Táxi,61009,4.6,135312,363225,58024,16.0,186730,20123,10.8,176395,37851,21.5,1
240,27/01/2020,MAPS_AND_NAVIGATION,21445773,27634,1395,189586,1018196,116224,49707,25195,93409,1302731,4.49,99 Passageiro - Motorista Particular e Táxi,62215,4.57,153868,383761,59194,15.4,203486,22158,10.9,180178,36996,20.5,1
241,28/01/2020,MAPS_AND_NAVIGATION,21470541,17728,1286,193645,1020456,116222,49601,25122,92837,1304238,4.492,99 Passageiro - Motorista Particular e Táxi,63246,4.58,130029,435755,60556,13.9,234874,22875,9.7,200785,37634,18.7,1
242,29/01/2020,MAPS_AND_NAVIGATION,21496806,24661,1272,193688,1022785,116124,49544,24907,92371,1305731,4.495,99 Passageiro - Motorista Particular e Táxi,66319,4.6,129937,494462,64421,13.0,272481,25010,9.2,221886,39365,17.7,1
243,30/01/2020,MAPS_AND_NAVIGATION,21512362,23243,1303,194344,1025475,116050,49271,24806,91605,1307207,4.499,99 Passageiro - Motorista Particular e Táxi,66408,4.6,141130,438112,62587,14.3,205407,21587,10.5,232611,40956,17.6,1
244,31/01/2020,MAPS_AND_NAVIGATION,21567497,57442,1748,219588,1028041,115945,49082,24546,91098,1308712,4.502,99 Passageiro - Motorista Particular e Táxi,72929,4.56,123300,436634,67721,15.5,178522,22627,12.7,258014,45043,17.5,1
245,01/02/2020,MAPS_AND_NAVIGATION,21638798,23224,1418,241826,1030582,115841,49200,24449,90257,1310329,4.505,99 Passageiro - Motorista Particular e Táxi,84482,4.61,128238,565493,80069,14.2,261313,28504,10.9,304058,51498,16.9,1
246,02/02/2020,MAPS_AND_NAVIGATION,21678854,18314,1084,205463,1033393,115825,49100,24233,89603,1312154,4.508,99 Passageiro - Motorista Particular e Táxi,73716,4.57,129925,530284,69368,13.1,238691,24807,10.4,291503,44509,15.3,1
247,03/02/2020,MAPS_AND_NAVIGATION,21714691,47795,1490,209823,1035479,116098,48901,24290,88976,1313744,4.511,99 Passageiro - Motorista Particular e Táxi,69947,4.57,133673,449561,64188,14.3,182280,22187,12.2,267144,41924,15.7,1
248,04/02/2020,MAPS_AND_NAVIGATION,21745208,48573,1554,198931,1037481,116105,48894,24251,88620,1315351,4.513,99 Passageiro - Motorista Particular e Táxi,65106,4.61,129200,412048,60220,14.6,174195,21378,12.3,237731,38790,16.3,1
249,05/02/2020,MAPS_AND_NAVIGATION,21778537,28264,1371,200118,1039182,116402,48739,24148,88565,1317036,4.514,99 Passageiro - Motorista Particular e Táxi,65829,4.61,129291,429035,60768,14.2,179475,18929,10.5,249461,41786,16.8,1
250,06/02/2020,MAPS_AND_NAVIGATION,21821247,53996,1764,210420,1042447,116061,48454,24031,87874,1318867,4.517,99 Passageiro - Motorista Particular e Táxi,69256,4.64,127840,436866,63939,14.6,183185,20728,11.3,253548,43143,17.0,1
251,07/02/2020,MAPS_AND_NAVIGATION,21860856,51399,1853,240801,1044972,116084,48305,24012,87422,1320795,4.52,99 Passageiro - Motorista Particular e Táxi,78991,4.62,156893,465002,73017,15.7,202807,23408,11.5,262081,49547,18.9,1
252,08/02/2020,MAPS_AND_NAVIGATION,21945840,32854,1659,271549,1048107,116031,48328,24013,86393,1322872,4.524,99 Passageiro - Motorista Particular e Táxi,91713,4.63,139100,534588,84728,15.8,249669,27167,10.9,284776,57490,20.2,1
253,09/02/2020,MAPS_AND_NAVIGATION,21970824,18384,1344,222854,1051259,116113,48010,23829,85864,1325075,4.527,99 Passageiro - Motorista Particular e Táxi,79118,4.6,159380,514793,73153,14.2,243123,22822,9.4,271553,50271,18.5,1
254,10/02/2020,MAPS_AND_NAVIGATION,22011858,27536,1748,222944,1054550,115890,47714,23696,85152,1327002,4.531,99 Passageiro - Motorista Particular e Táxi,74092,4.58,142606,460556,67823,14.7,197159,21416,10.9,263278,46348,17.6,1
255,11/02/2020,MAPS_AND_NAVIGATION,22041334,51565,1934,198077,1058037,115413,47577,23472,84338,1328837,4.535,99 Passageiro - Motorista Particular e Táxi,64771,4.56,125807,414590,60085,14.5,190534,20348,10.7,223971,39697,17.7,1
