Data,Category,Ativos,ANR,Falhas,Views,Instalações,Visibility,Total Reviews,Rate,fiveStars,fourStars,threeStars,twoStars,oneStar,total,score,poisition,App,Aquisição de Usuários,Nota Média,Desinstalações,Visualizações,Instalações Unicas,Conversão
2020-01-01,SHOPPING,3135,-,4,,22,,,,,,,,,,,200+,3CASH,16,-,28,73,15,20.5%
2020-01-02,SHOPPING,3130,-,2,,40,,,,,,,,,,,200+,3CASH,29,-,33,121,20,16.5%
2020-01-03,SHOPPING,3131,-,-,,36,,,,,,,,,,,200+,3CASH,31,5,35,122,22,18.0%
2020-01-04,SHOPPING,3129,1,1,,40,,,,,,,,,,,200+,3CASH,31,-,35,124,20,16.1%
2020-01-05,SHOPPING,3133,-,-,,41,,,,,,,,,,,200+,3CASH,38,-,33,60,16,26.7%
2020-01-06,SHOPPING,3155,-,-,,29,,,,,,,,,,,200+,3CASH,21,-,25,75,17,22.7%
2020-01-07,SHOPPING,3145,-,-,,51,,,,,,,,,,,200+,3CASH,42,-,36,100,38,38.0%
2020-01-08,SHOPPING,3153,-,13,,47,,,,,,,,,,,200+,3CASH,39,5,35,104,39,37.5%
2020-01-09,SHOPPING,3180,-,7,,62,,,,,,,,,,,200+,3CASH,45,-,31,109,41,37.6%
2020-01-10,SHOPPING,3193,-,4,,73,,,,,,,,,,,200+,3CASH,50,-,43,114,33,28.9%
2020-01-11,SHOPPING,3232,-,2,,62,,,,,,,,,,,200+,3CASH,43,-,31,118,43,36.4%
2020-01-12,SHOPPING,3217,1,3,,47,,,,,,,,,,,200+,3CASH,39,-,48,70,20,28.6%
2020-01-13,SHOPPING,3267,-,-,,102,,,,,,,,,,,200+,3CASH,81,-,35,121,48,39.7%
2020-01-14,SHOPPING,3328,-,3,,104,,,,,,,,,,,200+,3CASH,87,5,47,131,54,41.2%
2020-01-15,SHOPPING,3362,-,-,,75,,,,,,,,,,,200+,3CASH,63,3,38,144,55,38.2%
2020-01-16,SHOPPING,3409,-,-,,88,,,,,,,,,,,200+,3CASH,77,5,32,137,70,51.1%
2020-01-17,SHOPPING,3456,-,1,,96,,,,,,,,,,,200+,3CASH,75,-,36,142,70,49.3%
2020-01-18,SHOPPING,3503,-,-,,63,,,,,,,,,,,200+,3CASH,53,-,29,128,50,39.1%
2020-01-19,SHOPPING,3501,-,1,,46,,,,,,,,,,,200+,3CASH,35,5,33,107,29,27.1%
2020-01-20,SHOPPING,3529,-,-,,60,,,,,,,,,,,200+,3CASH,44,-,35,117,42,35.9%
2020-01-21,SHOPPING,3572,-,1,,79,,,,,,,,,,,200+,3CASH,72,-,28,138,68,49.3%
2020-01-22,SHOPPING,3619,-,-,,86,,,,,,,,,,,200+,3CASH,76,-,37,135,70,51.9%
2020-01-23,SHOPPING,3635,2,-,,73,,,,,,,,,,,200+,3CASH,71,-,46,151,66,43.7%
2020-01-24,SHOPPING,3698,1,-,,87,,,,,,,,,,,200+,3CASH,77,-,24,163,71,43.6%
2020-01-25,SHOPPING,3739,-,1,,65,,,,,,,,,,,200+,3CASH,60,-,31,70,28,40.0%
2020-01-26,SHOPPING,3780,-,2,,83,,,,,,,,,,,200+,3CASH,80,-,42,126,68,54.0%
2020-01-27,SHOPPING,3820,-,5,,92,,,,,,,,,,,200+,3CASH,91,-,51,160,79,49.4%
2020-01-28,SHOPPING,3874,1,8,,105,,,,,,,,,,,200+,3CASH,98,5,57,161,86,53.4%
2020-01-29,SHOPPING,3939,1,1,,100,,,,,,,,,,,200+,3CASH,86,-,37,148,80,54.1%
2020-01-30,SHOPPING,3978,1,4,,100,,,,,,,,,,,200+,3CASH,87,5,37,164,73,44.5%
2020-01-31,SHOPPING,4088,-,4,,139,,,,,,,,,,,200+,3CASH,126,-,34,184,120,65.2%
2020-02-01,SHOPPING,4169,-,-,,106,,,,,,,,,,,200+,3CASH,98,-,22,147,91,61.9%
2020-02-02,SHOPPING,4204,-,2,,68,,,,,,,,,,,200+,3CASH,58,-,31,122,55,45.1%
2020-02-03,SHOPPING,4276,1,-,,102,,,,,,,,,,,200+,3CASH,84,3,30,114,45,39.5%
2020-02-04,SHOPPING,4308,-,1,,80,,,,,,,,,,,200+,3CASH,69,1,32,125,65,52.0%
2020-02-05,SHOPPING,4367,-,2,,83,,,,,,,,,,,200+,3CASH,69,-,35,112,67,59.8%
2020-02-06,SHOPPING,4434,-,1,,116,,,,,,,,,,,200+,3CASH,111,-,29,151,99,65.6%
2020-02-07,SHOPPING,4468,1,-,,73,,,,,,,,,,,200+,3CASH,66,-,27,107,63,58.9%
2020-02-08,SHOPPING,4523,-,1,,92,,,,,,,,,,,200+,3CASH,82,-,30,132,72,54.5%
2020-02-09,SHOPPING,4571,-,1,,88,,,,,,,,,,,200+,3CASH,73,-,36,113,66,58.4%
2020-02-10,SHOPPING,4623,-,-,,75,,,,,,,,,,,200+,3CASH,69,1,35,116,54,46.6%
2020-02-11,SHOPPING,4658,-,4,,99,,,,,,,,,,,200+,3CASH,90,5,41,120,54,45.0%
2020-02-12,SHOPPING,4711,-,1,,92,,,,,,,,,,,200+,3CASH,85,2,33,121,47,38.8%
2020-02-13,SHOPPING,4777,-,-,,110,,,,,,,,,,,200+,3CASH,99,5,43,189,94,49.7%
2020-02-14,SHOPPING,4973,2,3,,220,,,,,,,,,,,200+,3CASH,215,5,53,296,195,65.9%
2020-02-15,SHOPPING,5050,2,1,,146,,,,,,,,,,,200+,3CASH,134,-,43,212,123,58.0%
2020-02-16,SHOPPING,5081,-,1,,66,,,,,,,,,,,200+,3CASH,59,5,42,124,53,42.7%
2020-02-17,SHOPPING,5117,1,-,,104,,,,,,,,,,,200+,3CASH,88,-,33,148,87,58.8%
2020-02-18,SHOPPING,5165,1,-,,80,,,,,,,,,,,200+,3CASH,62,4,40,123,38,30.9%
2020-02-19,SHOPPING,5199,-,2,,97,,,,,,,,,,,200+,3CASH,81,-,44,114,42,36.8%
2020-02-20,SHOPPING,5248,-,1,,79,,,,,,,,,,,200+,3CASH,64,-,37,128,41,32.0%
2020-02-21,SHOPPING,5290,-,-,,81,,,,,,,,,,,200+,3CASH,64,3,32,126,62,49.2%
2020-02-22,SHOPPING,5336,1,-,,88,,,,,,,,,,,200+,3CASH,73,-,33,134,66,49.3%
2020-02-23,SHOPPING,5357,-,2,,52,,,,,,,,,,,200+,3CASH,46,-,26,52,9,17.3%
2020-02-24,SHOPPING,5398,-,-,,70,,,,,,,,,,,200+,3CASH,50,-,34,124,50,40.3%
2020-02-25,SHOPPING,5433,-,2,,64,,,,,,,,,,,200+,3CASH,52,-,48,127,53,41.7%
2020-02-26,SHOPPING,5440,-,1,,83,,,,,,,,,,,200+,3CASH,68,-,46,127,60,47.2%
2020-02-27,SHOPPING,5507,1,-,,123,,,,,,,,,,,200+,3CASH,115,5,46,181,101,55.8%
2020-02-28,SHOPPING,5568,-,-,,103,,,,,,,,,,,200+,3CASH,95,-,52,152,85,55.9%
2020-02-29,SHOPPING,5637,-,3,,133,,,,,,,,,,,200+,3CASH,121,-,38,168,119,70.8%
2020-03-01,SHOPPING,5736,-,1,,147,,,,,,,,,,,200+,3CASH,134,-,64,223,123,55.2%
2020-03-02,SHOPPING,5829,-,1,,160,,,,,,,,,,,200+,3CASH,132,4,57,235,116,49.4%
2020-03-03,SHOPPING,5889,3,3,,133,,,,,,,,,,,200+,3CASH,116,-,58,226,107,47.3%
2020-03-04,SHOPPING,5942,1,-,,113,,,,,,,,,,,200+,3CASH,99,-,51,196,93,47.4%
2020-03-05,SHOPPING,5958,-,-,,78,,,,,,,,,,,200+,3CASH,70,-,51,158,62,39.2%
2020-03-06,SHOPPING,5996,1,-,,109,,,,,,,,,,,200+,3CASH,89,5,38,123,56,45.5%
2020-03-07,SHOPPING,6059,-,1,,95,,,,,,,,,,,200+,3CASH,78,-,36,161,73,45.3%
2020-03-08,SHOPPING,6137,-,-,,124,,,,,,,,,,,200+,3CASH,108,-,67,150,70,46.7%
2020-03-09,SHOPPING,6175,-,2,,92,,,,,,,,,,,200+,3CASH,79,-,34,200,76,38.0%
2020-03-10,SHOPPING,6256,2,2,,136,,,,,,,,,,,200+,3CASH,120,-,53,228,111,48.7%
2020-03-11,SHOPPING,6318,1,7,,140,,,,,,,,,,,200+,3CASH,110,5,70,240,98,40.8%
2020-03-12,SHOPPING,6373,-,1,,117,,,,,,,,,,,200+,3CASH,90,-,56,138,58,42.0%
2020-03-13,SHOPPING,6416,-,2,,94,,,,,,,,,,,200+,3CASH,74,-,42,121,46,38.0%
2020-03-14,SHOPPING,6471,3,1,,107,,,,,,,,,,,200+,3CASH,97,5,42,144,67,46.5%
2020-03-15,SHOPPING,6480,-,1,,73,,,,,,,,,,,200+,3CASH,64,-,44,133,41,30.8%
2020-03-16,SHOPPING,6512,-,17,,83,,,,,,,,,,,200+,3CASH,65,-,41,118,39,33.1%
2020-03-17,SHOPPING,6556,-,3,,63,,,,,,,,,,,200+,3CASH,46,-,48,141,43,30.5%
2020-03-18,SHOPPING,6533,-,3,,72,,,,,,,,,,,200+,3CASH,49,-,60,115,42,36.5%
2020-03-19,SHOPPING,6506,-,1,,60,,,,,,,,,,,200+,3CASH,27,-,73,121,23,19.0%
2020-03-20,SHOPPING,6482,-,5,,55,,,,,,,,,,,200+,3CASH,20,4,61,56,5,8.9%
2020-03-21,SHOPPING,6448,-,1,,49,,,,,,,,,,,200+,3CASH,26,-,74,53,8,15.1%
2020-03-22,SHOPPING,6468,-,-,,58,,,,,,,,,,,200+,3CASH,22,-,62,62,8,12.9%
2020-03-23,SHOPPING,6416,-,-,,54,,,,,,,,,,,200+,3CASH,35,2,85,77,19,24.7%
2020-03-24,SHOPPING,6393,-,1,,37,,,,,,,,,,,200+,3CASH,24,-,49,70,10,14.3%
2020-03-25,SHOPPING,6370,2,1,,30,,,,,,,,,,,200+,3CASH,13,5,51,60,7,11.7%
2020-03-26,SHOPPING,6352,-,-,,45,,,,,,,,,,,200+,3CASH,30,-,60,86,13,15.1%
2020-03-27,SHOPPING,6340,-,-,,41,,,,,,,,,,,200+,3CASH,32,-,53,79,10,12.7%
2020-03-28,SHOPPING,6281,1,1,,49,,,,,,,,,,,200+,3CASH,22,-,89,87,7,8.0%
2020-03-29,SHOPPING,6250,2,2,,64,,,,,,,,,,,200+,3CASH,36,-,75,159,28,17.6%
2020-03-30,SHOPPING,6252,-,1,,54,,,,,,,,,,,200+,3CASH,24,-,61,180,21,11.7%
2020-03-31,SHOPPING,6236,-,-,,34,,,,,,,,,,,200+,3CASH,24,-,61,110,14,12.7%
2020-04-01,SHOPPING,6205,3,2,,55,,,,,,,,,,,200+,3CASH,38,2,62,162,36,22.2%
2020-04-02,SHOPPING,6163,-,-,,37,,,,,,,,,,,200+,3CASH,28,-,70,71,15,21.1%
2020-04-03,SHOPPING,6151,-,-,,43,,,,,,,,,,,200+,3CASH,26,-,53,72,14,19.4%
2020-04-04,SHOPPING,6130,1,2,,52,,,,,,,,,,,200+,3CASH,38,-,44,80,20,25.0%
2020-04-05,SHOPPING,6118,1,1,,29,,,,,,,,,,,200+,3CASH,21,5,59,110,14,12.7%
2020-04-06,SHOPPING,6071,-,-,,41,,,,,,,,,,,200+,3CASH,28,-,49,68,12,17.6%
2020-04-07,SHOPPING,6065,-,1,,35,,,,,,,,,,,200+,3CASH,22,5,46,67,11,16.4%
2020-04-08,SHOPPING,6040,-,1,,49,,,,,,,,,,,200+,3CASH,28,-,93,76,9,11.8%
2020-04-09,SHOPPING,6017,3,1,,102,,,,,,,,,,,200+,3CASH,54,-,91,158,51,32.3%
2020-04-10,SHOPPING,6014,-,-,,83,,,,,,,,,,,200+,3CASH,49,5,72,195,45,23.1%
2020-04-11,SHOPPING,6009,1,-,,46,,,,,,,,,,,200+,3CASH,32,-,54,97,12,12.4%
2020-04-12,SHOPPING,5990,6,2,,53,,,,,,,,,,,200+,3CASH,37,-,57,101,25,24.8%
2020-04-13,SHOPPING,5996,-,1,,43,,,,,,,,,,,200+,3CASH,25,-,60,140,12,8.6%
2020-04-14,SHOPPING,5976,1,-,,83,,,,,,,,,,,200+,3CASH,38,3,81,202,26,12.9%
2020-04-15,SHOPPING,5985,-,-,,59,,,,,,,,,,,200+,3CASH,36,-,62,218,33,15.1%
2020-04-16,SHOPPING,5961,-,-,,38,,,,,,,,,,,200+,3CASH,23,-,49,164,15,9.1%
2020-04-17,SHOPPING,5938,-,1,,69,,,,,,,,,,,200+,3CASH,36,-,84,99,20,20.2%
2020-04-18,SHOPPING,5938,-,-,,70,,,,,,,,,,,200+,3CASH,34,-,54,147,30,20.4%
2020-04-19,SHOPPING,5929,-,-,,50,,,,,,,,,,,200+,3CASH,40,1,58,160,32,20.0%
2020-04-20,SHOPPING,5942,7,1,,45,,,,,,,,,,,200+,3CASH,33,5,59,100,13,13.0%
2020-04-21,SHOPPING,5899,1,-,,53,,,,,,,,,,,200+,3CASH,42,-,65,183,38,20.8%
2020-04-22,SHOPPING,5883,1,1,,80,,,,,,,,,,,200+,3CASH,37,5,72,171,33,19.3%
2020-04-23,SHOPPING,5905,-,-,,71,,,,,,,,,,,200+,3CASH,47,-,47,168,39,23.2%
2020-04-24,SHOPPING,5922,-,-,,55,,,,,,,,,,,200+,3CASH,40,-,44,164,39,23.8%
2020-04-25,SHOPPING,5912,9,1,,46,,,,,,,,,,,200+,3CASH,35,-,43,166,33,19.9%
2020-04-26,SHOPPING,5881,-,-,,31,,,,,,,,,,,200+,3CASH,25,-,46,126,11,8.7%
2020-04-27,SHOPPING,5874,1,2,,45,,,,,,,,,,,200+,3CASH,34,1,54,157,25,15.9%
2020-04-28,SHOPPING,5841,-,-,,42,,,,,,,,,,,200+,3CASH,27,-,50,206,24,11.7%
2020-04-29,SHOPPING,5841,-,-,,45,,,,,,,,,,,200+,3CASH,31,3,47,226,24,10.6%
2020-04-30,SHOPPING,5864,2,1,,65,,,,,,,,,,,200+,3CASH,54,5,38,231,35,15.2%
2020-05-01,SHOPPING,5862,-,-,,48,,,,,,,,,,,200+,3CASH,34,5,50,211,29,13.7%
2020-05-02,SHOPPING,5861,-,-,,39,,,,,,,,,,,200+,3CASH,31,5,42,183,28,15.3%
2020-05-03,SHOPPING,5838,-,-,,41,,,,,,,,,,,200+,3CASH,29,-,44,194,22,11.3%
2020-05-04,SHOPPING,5816,-,10,,53,,,,,,,,,,,200+,3CASH,36,5,53,202,27,13.4%
2020-05-05,SHOPPING,5822,-,-,,51,,,,,,,,,,,200+,3CASH,32,-,50,144,19,13.2%
2020-05-06,SHOPPING,5843,-,-,,71,,,,,,,,,,,200+,3CASH,45,1,51,199,33,16.6%
2020-05-07,SHOPPING,5826,-,4,,62,,,,,,,,,,,200+,3CASH,41,5,51,227,38,16.7%
2020-05-08,SHOPPING,5800,1,-,,48,,,,,,,,,,,200+,3CASH,42,-,52,210,27,12.9%
2020-05-09,SHOPPING,5831,-,1,,71,,,,,,,,,,,200+,3CASH,57,5,44,227,33,14.5%
2020-05-10,SHOPPING,5845,1,-,,47,,,,,,,,,,,200+,3CASH,34,-,43,183,16,8.7%
2020-05-11,SHOPPING,5789,-,1,,60,,,,,,,,,,,200+,3CASH,49,4,64,238,28,11.8%
2020-05-12,SHOPPING,5806,1,-,,66,,,,,,,,,,,200+,3CASH,50,5,66,235,33,14.0%
2020-05-13,SHOPPING,5800,-,-,,59,,,,,,,,,,,200+,3CASH,40,5,49,200,31,15.5%
2020-05-14,SHOPPING,5842,-,1,,76,,,,,,,,,,,200+,3CASH,61,"4,5",61,238,32,13.4%
2020-05-15,SHOPPING,5807,1,1,,44,,,,,,,,,,,200+,3CASH,33,-,51,173,22,12.7%
2020-05-16,SHOPPING,5800,-,1,,76,,,,,,,,,,,200+,3CASH,49,-,60,189,31,16.4%
2020-05-17,SHOPPING,5782,-,-,,66,,,,,,,,,,,200+,3CASH,53,-,96,185,43,23.2%
2020-05-18,SHOPPING,5782,-,1,,90,,,,,,,,,,,200+,3CASH,58,"4,5",88,212,53,25.0%
2020-05-19,SHOPPING,5806,-,1,,102,,,,,,,,,,,200+,3CASH,67,5,70,187,59,31.6%
2020-05-20,SHOPPING,5819,3,1,,73,,,,,,,,,,,200+,3CASH,56,1,65,195,52,26.7%
2020-05-21,SHOPPING,5805,-,2,,75,,,,,,,,,,,200+,3CASH,59,-,63,184,55,29.9%
2020-05-22,SHOPPING,5798,-,6,,65,,,,,,,,,,,200+,3CASH,41,"4,2",68,162,37,22.8%
2020-05-23,SHOPPING,5757,-,2,,96,,,,,,,,,,,200+,3CASH,67,-,100,169,40,23.7%
2020-05-24,SHOPPING,5786,-,-,,89,,,,,,,,,,,200+,3CASH,61,-,77,188,34,18.1%
2020-05-25,SHOPPING,5759,14,4,,75,,,,,,,,,,,200+,3CASH,52,5,89,219,38,17.4%
2020-05-26,SHOPPING,5799,3,38,,88,,,,,,,,,,,200+,3CASH,61,5,72,200,50,25.0%
2020-05-27,SHOPPING,5803,2,21,,81,,,,,,,,,,,200+,3CASH,70,5,70,226,54,23.9%
2020-05-28,SHOPPING,5788,-,6,,67,,,,,,,,,,,200+,3CASH,47,-,69,192,35,18.2%
2020-05-29,SHOPPING,5757,1,22,,62,,,,,,,,,,,200+,3CASH,55,-,70,158,38,24.1%
2020-05-30,SHOPPING,5746,-,1,,56,,,,,,,,,,,200+,3CASH,41,5,60,153,28,18.3%
2020-05-31,SHOPPING,5725,-,22,,40,,,,,,,,,,,200+,3CASH,33,5,60,131,19,14.5%
2020-06-01,SHOPPING,5749,-,11,,84,,,,,,,,,,,200+,3CASH,47,3,79,198,37,18.7%
2020-06-02,SHOPPING,5752,6,24,,104,,,,,,,,,,,200+,3CASH,71,-,75,222,47,21.2%
2020-06-03,SHOPPING,5764,7,16,,100,,,,,,,,,,,200+,3CASH,54,5,81,243,36,14.8%
2020-06-04,SHOPPING,5797,3,12,,112,,,,,,,,,,,200+,3CASH,68,-,66,198,47,23.7%
2020-06-05,SHOPPING,5804,2,12,,63,,,,,,,,,,,200+,3CASH,51,-,63,190,36,18.9%
2020-06-06,SHOPPING,5786,2,2,,61,,,,,,,,,,,200+,3CASH,44,-,51,208,36,17.3%
2020-06-07,SHOPPING,5806,2,2,,85,,,,,,,,,,,200+,3CASH,64,"1,5",78,307,50,16.3%
2020-06-08,SHOPPING,5797,-,4,,76,"56,03",,,,,,,,,,200+,3CASH,53,-,74,250,42,16.8%
2020-06-09,SHOPPING,5773,-,6,,40,"59,39",,,,,,,,,,200+,3CASH,34,5,57,248,25,10.1%
2020-06-10,SHOPPING,5858,1,1,,144,"61,46",,,,,,,,,,200+,3CASH,110,5,75,371,105,28.3%
2020-06-11,SHOPPING,5936,-,4,,150,"61,06",,,,,,,,,,200+,3CASH,135,4,50,358,121,33.8%
2020-06-12,SHOPPING,5961,1,6,,85,"56,38",,,,,,,,,,200+,3CASH,69,-,61,232,36,15.5%
2020-06-13,SHOPPING,5995,-,15,,79,"62,65",,,,,,,,,,200+,3CASH,47,-,68,225,29,12.9%
2020-06-14,SHOPPING,6007,-,-,,101,"66,28",,,,,,,,,,200+,3CASH,66,-,68,292,46,15.8%
2020-06-15,SHOPPING,6023,-,5,,131,"63,73",,,,,,,,,,200+,3CASH,103,-,83,338,67,19.8%
2020-06-16,SHOPPING,6077,7,1,,128,"64,15",,,,,,,,,,200+,3CASH,98,-,66,369,69,18.7%
2020-06-17,SHOPPING,6133,3,2,,127,"61,59",,,,,,,,,,200+,3CASH,95,-,69,326,62,19.0%
2020-06-18,SHOPPING,6206,-,1,,180,"62,35",,,,,,,,,,200+,3CASH,154,1,85,447,139,31.1%
2020-06-19,SHOPPING,6293,2,5,,154,"56,94",,,,,,,,,,200+,3CASH,132,5,80,384,110,28.6%
2020-06-20,SHOPPING,6324,-,13,,146,62,,,,,,,,,,200+,3CASH,98,-,80,297,63,21.2%
2020-06-21,SHOPPING,6380,-,4,,122,"56,92",,,,,,,,,,200+,3CASH,84,-,67,354,66,18.6%
2020-06-22,SHOPPING,6408,6,25,,127,"44,69",,,,,,,,,,200+,3CASH,90,-,88,270,60,22.2%
2020-06-23,SHOPPING,6503,5,8,,151,"63,27",,,,,,,,,,200+,3CASH,101,-,86,320,76,23.8%
2020-06-24,SHOPPING,6555,1,19,,164,"59,36",,,,,,,,,,200+,3CASH,117,-,75,374,102,27.3%
2020-06-25,SHOPPING,6642,4,8,,160,"61,95",,,,,,,,,,200+,3CASH,138,-,76,394,127,32.2%
2020-06-26,SHOPPING,6712,2,4,,143,"63,13",,,,,,,,,,200+,3CASH,118,-,63,316,83,26.3%
2020-06-27,SHOPPING,6720,1,24,,101,"58,97",,,,,,,,,,200+,3CASH,80,5,90,300,61,20.3%
2020-06-28,SHOPPING,6752,5,7,,92,"59,7",,,,,,,,,,200+,3CASH,85,4,66,281,55,19.6%
2020-06-29,SHOPPING,6773,1,1,,112,"60,95",,,,,,,,,,200+,3CASH,96,-,71,325,86,26.5%
2020-06-30,SHOPPING,6805,1,5,,166,"60,9",,,,,,,,,,200+,3CASH,134,5,87,354,66,18.6%
2020-07-01,SHOPPING,6874,-,6,,125,"62,09",,,,,,,,,,200+,3CASH,106,-,75,356,99,27.8%
2020-07-02,SHOPPING,6947,-,2,,155,"59,45",,,,,,,,,,200+,3CASH,136,5,100,436,132,30.3%
2020-07-03,SHOPPING,6995,3,9,,194,"61,04",,,,,,,,,,200+,3CASH,159,1,110,453,158,34.9%
2020-07-04,SHOPPING,7082,1,3,,164,"61,35",,,,,,,,,,200+,3CASH,135,-,69,421,128,30.4%
2020-07-05,SHOPPING,7147,2,9,,156,"60,95",,,,,,,,,,200+,3CASH,132,-,97,455,126,27.7%
2020-07-06,SHOPPING,7156,1,2,,131,"60,15",,,,,,,,,,200+,3CASH,114,-,89,420,109,26.0%
2020-07-07,SHOPPING,7270,-,2,,194,60,,,,,,,,,,200+,3CASH,163,-,94,438,158,36.1%
2020-07-08,SHOPPING,7388,-,-,,301,"58,75",,,,,,,,,,200+,3CASH,273,-,145,729,262,35.9%
2020-07-09,SHOPPING,7582,3,11,,327,"57,85",175,"4,34",134,10,7,7,17,,,200+,3CASH,298,-,156,805,287,35.7%
2020-07-10,SHOPPING,7658,-,2,,283,"57,05",175,"4,34",134,10,7,7,17,,,200+,3CASH,256,1,162,746,256,34.3%
2020-07-11,SHOPPING,7809,1,54,,311,,176,"4,34",135,10,7,7,17,,,200+,3CASH,284,-,160,746,273,36.6%
2020-07-12,SHOPPING,7926,1,9,,282,"57,94",176,"4,3",133,10,7,7,19,,,200+,3CASH,248,3,170,715,242,33.8%
2020-07-13,SHOPPING,8024,-,21,,285,"54,02",178,"4,3",135,10,7,7,19,,,200+,3CASH,259,-,193,832,251,30.2%
2020-07-14,SHOPPING,8141,2,33,,299,,,,,,,,,,,200+,3CASH,264,5,170,815,252,30.9%
2020-07-15,SHOPPING,8175,-,23,,250,,,,,,,,,,,200+,3CASH,225,-,189,809,213,26.3%
2020-07-16,SHOPPING,8301,2,35,,266,,,,,,,,,,,200+,3CASH,230,5,151,741,216,29.1%
2020-07-17,SHOPPING,8202,-,75,,274,,,,,,,,,,,200+,3CASH,248,4,168,739,242,32.7%
2020-07-18,SHOPPING,8267,-,72,,253,,,,,,,,,,,200+,3CASH,216,1,160,696,213,30.6%
2020-07-19,SHOPPING,8329,-,12,,237,,,,,,,,,,,200+,3CASH,219,-,171,731,209,28.6%
2020-07-20,SHOPPING,8388,-,10,,221,,,,,,,,,,,200+,3CASH,192,-,157,682,187,27.4%
2020-07-21,SHOPPING,8511,2,11,,285,,,,,,,,,,,200+,3CASH,253,4,147,792,240,30.3%
2020-07-22,SHOPPING,8597,-,4,,290,,,,139,9,9,5,24,186,"4,24",200+,3CASH,262,5,172,836,252,30.1%
2020-07-23,SHOPPING,8701,1,76,,273,,,,145,7,7,5,27,191,"4,23",200+,3CASH,236,5,159,736,230,31.3%
2020-07-24,SHOPPING,8778,1,6,,278,,,,150,5,7,3,27,192,"4,27",200+,3CASH,246,-,183,744,240,32.3%
2020-07-25,SHOPPING,8796,3,7,,160,,,,152,5,7,1,27,192,"4,3",200+,3CASH,130,-,126,494,123,24.9%
2020-07-26,SHOPPING,8845,-,4,,160,,,,152,5,7,1,27,192,"4,3",200+,3CASH,133,-,99,485,122,25.2%
2020-07-27,SHOPPING,8859,-,4,,106,,,,152,5,7,1,27,192,"4,3",200+,3CASH,93,-,103,337,67,19.9%
2020-07-28,SHOPPING,8834,-,3,,72,,,,152,5,7,1,27,192,"4,3",200+,3CASH,48,-,83,269,36,13.4%
2020-07-29,SHOPPING,8855,-,9,,106,,,,152,5,7,1,27,192,"4,3",200+,3CASH,83,-,91,318,57,17.9%
2020-07-30,SHOPPING,8833,2,3,,87,,,,152,5,7,1,27,192,"4,3",200+,3CASH,66,-,91,331,47,14.2%
2020-07-31,SHOPPING,8902,5,9,,260,,,,152,5,7,1,27,192,"4,3",200+,3CASH,225,-,153,814,222,27.3%
2020-08-01,SHOPPING,9239,3,9,,196,,,,152,5,7,1,27,192,"4,3",200+,3CASH,167,3,117,552,146,26.4%
2020-08-02,SHOPPING,9312,-,4,,197,,,,152,5,7,1,27,192,"4,3",200+,3CASH,173,-,130,692,175,25.3%
2020-08-03,SHOPPING,9355,-,23,,205,,,,150,5,9,1,27,192,"4,28",200+,3CASH,169,-,150,770,162,21.0%
2020-08-04,SHOPPING,9425,3,1,,193,,,,150,5,9,1,27,192,"4,28",200+,3CASH,167,-,116,748,150,20.1%
2020-01-01,SPORTS,"68,698",8,78,,934,,,,7178,923,240,40,331,8712,"4,673",14,Appito,685,4.89,"1,447",1566,610,39.0%
2020-01-02,SPORTS,"68,598",13,161,,"1,623",,,,7188,912,250,30,340,8720,"4,671",13,Appito,"1,198",4.32,"1,577",2492,1129,45.3%
2020-01-03,SPORTS,"68,376",11,287,,"1,580",,,,7202,914,251,30,341,8738,"4,671",15,Appito,"1,122",4.58,"1,710",2327,1026,44.1%
2020-01-04,SPORTS,"68,147",7,273,,"1,410",,,,7174,933,250,30,361,8748,"4,661",16,Appito,"1,045",4.70,"1,552",2072,949,45.8%
2020-01-05,SPORTS,"68,411",7,264,,"1,851",,,,7195,935,251,30,362,8773,"4,661",18,Appito,"1,440",4.50,"1,540",2991,1339,44.8%
2020-01-06,SPORTS,"68,855",52,350,,"2,275",,,,7214,938,252,30,363,8797,"4,661",14,Appito,"1,777",4.87,"1,737",3544,1675,47.3%
2020-01-07,SPORTS,"69,003",20,339,,"1,756",,,,7196,946,261,40,382,8825,"4,647",9,Appito,"1,270",4.41,"1,490",2640,1160,43.9%
2020-01-08,SPORTS,"68,863",14,327,,"1,598",,,,7218,904,281,50,392,8845,"4,64",8,Appito,"1,123",4.77,"1,623",2575,1032,40.1%
2020-01-09,SPORTS,"68,579",13,261,,"1,535",,,,7242,902,260,50,401,8855,"4,641",9,Appito,"1,053",4.56,"1,678",2191,961,43.9%
2020-01-10,SPORTS,"68,490",20,260,,"1,597",,,,7280,893,271,40,391,8875,"4,648",8,Appito,"1,136",4.80,"1,630",2754,1039,37.7%
2020-01-11,SPORTS,"68,386",13,365,,"1,327",,,,7275,883,280,40,411,8889,"4,639",8,Appito,890,4.76,"1,453",1929,817,42.4%
2020-01-12,SPORTS,"67,679",15,275,,"1,198",,,,7281,883,281,50,411,8906,"4,636",13,Appito,812,4.74,"1,697",1860,763,41.0%
2020-01-13,SPORTS,"67,561",16,330,,"1,473",,,,7313,853,291,50,421,8928,"4,633",22,Appito,"1,048",4.58,"1,521",2527,987,39.1%
2020-01-14,SPORTS,"67,654",26,384,,"1,585",,,,7319,863,281,50,431,8944,"4,631",22,Appito,"1,108",4.86,"1,396",2366,1026,43.4%
